stress_level,instance,scenario_seed,strategy,budget,warm_start_fe,routing_fe,total_fe,response_time,fitness,distance,total_late,is_feasible,gap_to_reference,route_disruption
Far,1,8201,WarmStart,1000,200,780,980,0.0885035,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Far,1,8201,WarmStart,1500,200,1290,1490,0.1396099,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Far,1,8201,WarmStart,2500,200,2280,2480,0.2334137,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Far,1,8201,Repair,500,0,38,38,0.0032102,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Far,1,8201,Repair,1000,0,38,38,0.0029186,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Far,1,8201,Repair,1500,0,38,38,0.002848,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Far,1,8201,Repair,2500,0,38,38,0.0029686,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Far,2,8202,Restart,500,0,480,480,0.0486818,5974.97515945774,5974.97515945774,0,1,0.0643365814904615,0.647058823529412
Far,2,8202,Restart,1000,0,990,990,0.1050225,6410.43383156172,6410.43383156172,0,1,0.141905873760053,0.764705882352941
Far,2,8202,Restart,1500,0,1500,1500,0.1481651,6063.05570888255,6063.05570888255,0,1,0.0800265799203642,0.705882352941176
Far,2,8202,Restart,2500,0,2490,2490,0.2292161,4402.27337958736,4402.27337958736,0,1,-0.215812539036278,0.823529411764706
Far,2,8202,WarmStart,500,200,300,500,0.0496439,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Far,2,8202,WarmStart,1000,200,780,980,0.0938641,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Far,2,8202,WarmStart,1500,200,1290,1490,0.1692336,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Far,2,8202,WarmStart,2500,200,2280,2480,0.2358022,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Far,2,8202,Repair,500,0,38,38,0.0030778,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Far,2,8202,Repair,1000,0,38,38,0.0036181,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Far,2,8202,Repair,1500,0,38,38,0.0029565,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Far,2,8202,Repair,2500,0,38,38,0.0030971,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Far,3,8203,Restart,500,0,480,480,0.0516383,5992.63082370573,5992.63082370573,0,1,0.0674816270895052,0.705882352941176
Far,3,8203,Restart,1000,0,990,990,0.0961236,6036.68816558339,6036.68816558339,0,1,0.0753296665193265,0.705882352941176
Far,3,8203,Restart,1500,0,1500,1500,0.1434533,5137.83160387052,5137.83160387052,0,1,-0.0847857974971922,0.647058823529412
Far,3,8203,Restart,2500,0,2490,2490,0.2308727,5247.44671018047,5247.44671018047,0,1,-0.0652597970677214,0.764705882352941
Far,3,8203,WarmStart,500,200,300,500,0.0498766,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Far,3,8203,WarmStart,1000,200,780,980,0.0996268,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Far,3,8203,WarmStart,1500,200,1290,1490,0.1400961,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Far,3,8203,WarmStart,2500,200,2280,2480,0.2283111,4721.84429976682,4721.84429976682,0,1,-0.158886608526062,0
Far,3,8203,Repair,500,0,38,38,0.0030347,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Far,3,8203,Repair,1000,0,38,38,0.0031425,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Far,3,8203,Repair,1500,0,38,38,0.004103,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Far,3,8203,Repair,2500,0,38,38,0.0038906,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Far,4,8204,Restart,500,0,480,480,0.0595418,6678.45660691496,6678.45660691496,0,1,0.189649410238109,0.705882352941176
Far,4,8204,Restart,1000,0,990,990,0.1066781,4827.33496375874,4827.33496375874,0,1,-0.140095304847652,0.705882352941176
Far,4,8204,Restart,1500,0,1500,1500,0.1506216,5175.70218381953,5175.70218381953,0,1,-0.0780398207313821,0.705882352941176
