instance,nCustomers,method,seed,budget_factor,budget_fe,actual_fe,total_late,is_feasible,first_feasible_fe,tour_cost,gap_to_bks,mode
rc_201.3,31,PSO,940207,50,1550,1550,5291.7294,0,NaN,987.8556,NaN,none
rc_201.3,31,Global,940207,50,1550,1550,2419.0679,0,NaN,979.3609,NaN,global
rc_201.3,31,LateOnly,940207,50,1550,1550,0,1,1290,869.8455,0.100220715649941,late
rc_201.3,31,Propagation,940207,50,1550,1550,57.2341,0,NaN,849.1178,NaN,propagation
rc_201.3,31,StateSwitch,940207,50,1550,1550,57.2341,0,NaN,849.1178,NaN,propagation
rc_201.3,31,PSO,940207,100,3100,3100,5116.9788,0,NaN,977.6858,NaN,none
rc_201.3,31,Global,940207,100,3100,3100,377.8708,0,NaN,884.7453,NaN,global
rc_201.3,31,LateOnly,940207,100,3100,3100,0,1,1290,845.7396,0.069730461289384,late
rc_201.3,31,Propagation,940207,100,3100,3100,0,1,2481,831.2756,0.0514357268438294,propagation
rc_201.3,31,StateSwitch,940207,100,3100,3100,0,1,2481,821.8282,0.0394862195013975,global
rc_201.3,31,PSO,940208,25,775,775,5869.5884,0,NaN,1209.3707,NaN,none
rc_201.3,31,Global,940208,25,775,775,6307.1395,0,NaN,1167.9087,NaN,global
rc_201.3,31,LateOnly,940208,25,775,775,954.676800000001,0,NaN,928.809,NaN,late
rc_201.3,31,Propagation,940208,25,775,775,954.676800000001,0,NaN,928.809,NaN,propagation
rc_201.3,31,StateSwitch,940208,25,775,775,954.676800000001,0,NaN,928.809,NaN,propagation
rc_201.3,31,PSO,940208,50,1550,1550,5221.0082,0,NaN,1065.4351,NaN,none
rc_201.3,31,Global,940208,50,1550,1550,3180.2891,0,NaN,1090.8003,NaN,global
rc_201.3,31,LateOnly,940208,50,1550,1550,696.9724,0,NaN,924.1172,NaN,late
rc_201.3,31,Propagation,940208,50,1550,1550,696.9724,0,NaN,924.1172,NaN,propagation
rc_201.3,31,StateSwitch,940208,50,1550,1550,696.9724,0,NaN,924.1172,NaN,propagation
rc_201.3,31,PSO,940208,100,3100,3100,5221.0082,0,NaN,1065.4351,NaN,none
rc_201.3,31,Global,940208,100,3100,3100,410.3624,0,NaN,878.1415,NaN,global
