level,instance,scenario_seed,algorithm_seed,event_index,event_time,event_type,event_size,strategy,budget,oracle_status,reference_cost,reused_legs,computed_legs,warm_start_fe,routing_fe,total_fe,response_time,fitness,distance,total_late,obstacle_violation,is_feasible,gap_to_reference,route_disruption
Severe,1,3001,8810,1,90,cancel,4,WarmStart,1500,FEASIBLE,2765.6115506478,169,41,42,1440,1482,0.1082468,3347.46718583512,3347.46718583512,0,0,1,0.210389501392928,0.307692307692308
Severe,1,3001,9810,1,90,cancel,4,WarmStart,2500,FEASIBLE,2765.6115506478,169,41,46,2430,2476,0.1511155,3740.77640557934,3740.77640557934,0,0,1,0.352603696170969,0.230769230769231
Severe,1,3001,7810,1,90,cancel,4,Repair,500,FEASIBLE,2765.6115506478,169,41,0,1,1,0.0001064,4310.12648194694,4310.12648194694,0,0,1,0.558471391594149,0
Severe,1,3001,8310,1,90,cancel,4,Repair,1000,FEASIBLE,2765.6115506478,169,41,0,1,1,7.47e-05,4310.12648194694,4310.12648194694,0,0,1,0.558471391594149,0
Severe,1,3001,8810,1,90,cancel,4,Repair,1500,FEASIBLE,2765.6115506478,169,41,0,1,1,6.84e-05,4310.12648194694,4310.12648194694,0,0,1,0.558471391594149,0
Severe,1,3001,9810,1,90,cancel,4,Repair,2500,FEASIBLE,2765.6115506478,169,41,0,1,1,6.8e-05,4310.12648194694,4310.12648194694,0,0,1,0.558471391594149,0
Severe,1,3001,7820,2,150,add,4,Restart,500,UNKNOWN,,196,184,0,480,480,0.0402645,54710.8924278351,5043.38725310374,496.675051747313,0,0,NaN,0.571428571428571
Severe,1,3001,8320,2,150,add,4,Restart,1000,UNKNOWN,,196,184,0,990,990,0.0800516,43872.5387885143,4668.07083449703,392.044679540172,0,0,NaN,0.571428571428571
Severe,1,3001,8820,2,150,add,4,Restart,1500,UNKNOWN,,196,184,0,1500,1500,0.1214116,35053.961066363,4352.06992903118,307.018911373318,0,0,NaN,0.357142857142857
Severe,1,3001,9820,2,150,add,4,Restart,2500,UNKNOWN,,196,184,0,2490,2490,0.2008093,53233.8399764894,5612.87972439443,476.20960252095,0,0,NaN,0.642857142857143
Severe,1,3001,7820,2,150,add,4,WarmStart,500,UNKNOWN,,196,184,200,300,500,0.6578455,47127.7252944587,4888.2260294065,422.394992650522,0,0,NaN,0.0714285714285714
Severe,1,3001,8320,2,150,add,4,WarmStart,1000,UNKNOWN,,196,184,200,780,980,0.6927438,42779.7752273607,4680.10655145722,380.996686759035,0,0,NaN,0.142857142857143
Severe,1,3001,8820,2,150,add,4,WarmStart,1500,UNKNOWN,,196,184,200,1290,1490,0.7333316,42774.7588934792,4811.47829182184,379.632806016574,0,0,NaN,0.0714285714285714
Severe,1,3001,9820,2,150,add,4,WarmStart,2500,UNKNOWN,,196,184,200,2280,2480,0.8146732,41300.5669407689,4890.64267437727,364.099242663916,0,0,NaN,0.285714285714286
Severe,1,3001,7820,2,150,add,4,Repair,500,UNKNOWN,,196,184,0,67,67,0.0046368,42077.6863395508,4627.19439569911,374.504919438517,0,0,NaN,0
Severe,1,3001,8320,2,150,add,4,Repair,1000,UNKNOWN,,196,184,0,67,67,0.0045397,42077.6863395508,4627.19439569911,374.504919438517,0,0,NaN,0
Severe,1,3001,8820,2,150,add,4,Repair,1500,UNKNOWN,,196,184,0,67,67,0.0046815,42077.6863395508,4627.19439569911,374.504919438517,0,0,NaN,0
Severe,1,3001,9820,2,150,add,4,Repair,2500,UNKNOWN,,196,184,0,67,67,0.0045258,42077.6863395508,4627.19439569911,374.504919438517,0,0,NaN,0
Severe,2,3002,7910,1,90,cancel,4,Restart,500,FEASIBLE,3077.67379291544,196,44,0,480,480,0.0347985,3951.40153133625,3951.40153133625,0,0,1,0.283892250189761,0.5
Severe,2,3002,8410,1,90,cancel,4,Restart,1000,FEASIBLE,3077.67379291544,196,44,0,990,990,0.0735412,6189.44346177239,5100.36553101851,10.8907793075388,0,0,1.01107845672924,0.5
Severe,2,3002,8910,1,90,cancel,4,Restart,1500,FEASIBLE,3077.67379291544,196,44,0,1500,1500,0.0990993,3922.1213291176,3922.1213291176,0,0,1,0.274378505657753,0.5
Severe,2,3002,9910,1,90,cancel,4,Restart,2500,FEASIBLE,3077.67379291544,196,44,0,2490,2490,0.1609186,3452.468805998,3452.468805998,0,0,1,0.12177866736407,0.642857142857143
Severe,2,3002,7910,1,90,cancel,4,WarmStart,500,FEASIBLE,3077.67379291544,196,44,48,450,498,0.0337242,3869.2982590184,3869.2982590184,0,0,1,0.25721519542624,0.214285714285714
Severe,2,3002,8410,1,90,cancel,4,WarmStart,1000,FEASIBLE,3077.67379291544,196,44,42,930,972,0.0630344,4330.98328522419,4141.65985204514,1.89323433179055,0,0,0.407226228846533,0.214285714285714
