level,instance,scenario_seed,algorithm_seed,strategy,budget,event_index,event_time,event_type,event_size,reused_legs,computed_legs,online_leg_time,warm_start_time,routing_or_repair_time,response_time,warm_start_fe,routing_or_repair_fe,total_fe,final_fitness,distance,total_late,obstacle_violation,route_disruption,is_feasible,first_feasible_fe,reference_found,reference_fe,reference_cost,state_x,state_y,state_z,state_time,relative_gap_to_best
Moderate,2,3002,7203,Restart,1500,2,150,add,2,144,96,1.3988408,0,0.1014027,1.5002435,0,1500,1500,19453.1005082164,4653.08971467306,148.000107935433,0,0.583333333333333,0,Inf,0,Inf,7478.58654807253,850,120,375,150,2.55065985190616
Moderate,2,3002,7204,Restart,2500,1,90,cancel,2,196,44,0.640102,0,0.1703295,0.8104315,0,2490,2490,5569.74171230866,4912.47250095591,6.57269211352752,0,0.642857142857143,0,Inf,0,Inf,5429.28501242684,430,500,375,90,0
Moderate,2,3002,7204,Restart,2500,2,150,add,2,144,96,1.4220558,0,0.1654267,1.5874825,0,2490,2490,4368.54980294889,3493.70084983523,8.74848953113656,0,0.333333333333333,0,Inf,0,Inf,8131.78444159999,420,300,375,150,0
Moderate,2,3002,7201,WarmStart,500,1,90,cancel,2,196,44,0.6337604,0.0032131,0.0303342,0.6673077,43,450,493,3686.09150916611,3686.09150916611,0,0,0.357142857142857,1,216,0,Inf,5429.28501242684,430,500,375,90,0
Moderate,2,3002,7201,WarmStart,500,2,150,add,2,144,96,1.4165,0.014178,0.0212327,1.4519107,200,300,500,4104.32426667145,2744.45551929231,13.5986874737914,0,0,0,Inf,0,Inf,6744.3682449077,420,300,375,150,0
Moderate,2,3002,7202,WarmStart,1000,1,90,cancel,2,196,44,0.6335719,0.0034124,0.0638041,0.7007884,47,930,977,4636.02304479873,4636.02304479873,0,0,0.285714285714286,1,650,0,Inf,5429.28501242684,430,500,375,90,0.305762793435316
Moderate,2,3002,7202,WarmStart,1000,2,150,add,2,121,89,1.3385411,0.0136808,0.0491289,1.4013508,200,780,980,5478.72827011944,3875.73654326934,16.0299172685009,0,0,0,Inf,0,Inf,5981.04998106998,499.524079167427,300,375,150,0.0237531066039273
Moderate,2,3002,7203,WarmStart,1500,1,90,cancel,2,196,44,0.646244,0.003401,0.0936603,0.7433053,46,1440,1486,4636.02304479873,4636.02304479873,0,0,0.285714285714286,1,344,0,Inf,5429.28501242684,430,500,375,90,0.323153827302947
Moderate,2,3002,7203,WarmStart,1500,2,150,add,2,121,89,1.3331466,0.0129442,0.0876332,1.433724,200,1290,1490,5478.72827011944,3875.73654326934,16.0299172685009,0,0,0,Inf,0,Inf,5981.04998106998,499.524079167427,300,375,150,0
Moderate,2,3002,7204,WarmStart,2500,1,90,cancel,2,196,44,0.6598968,0.0034313,0.1657716,0.8290997,45,2430,2475,6295.32693062855,5057.58954461989,12.3773738600866,0,0.0714285714285714,0,Inf,0,Inf,5429.28501242684,430,500,375,90,0.130272686921264
Moderate,2,3002,7204,WarmStart,2500,2,150,add,2,121,89,1.320943,0.01246,0.1422187,1.4756217,200,2280,2480,8589.57556505212,4326.21917395021,42.6335639110191,0,0,0,Inf,0,Inf,5879.02222572357,523.825907945688,327.651815891375,375,150,0.966230431722198
Moderate,2,3002,7201,Repair,500,1,90,cancel,2,196,44,0.638419,0,0.0001002,0.6385192,0,1,1,6313.56231854095,5061.23662220237,12.5232569633858,0,0,0,Inf,0,Inf,5429.28501242684,430,500,375,90,0.712806723013028
Moderate,2,3002,7201,Repair,500,2,150,add,2,121,89,1.3112633,0,0.0015584,1.3128217,0,26,26,8636.98757362436,4329.86625153269,43.0712132209167,0,0,0,Inf,0,Inf,6159.93877625999,474.772166735827,357.654912353502,375,150,1.10436286522479
Moderate,2,3002,7202,Repair,1000,1,90,cancel,2,196,44,0.6547491,0,9.96e-05,0.6548487,0,1,1,6313.56231854095,5061.23662220237,12.5232569633858,0,0,0,Inf,0,Inf,5429.28501242684,430,500,375,90,0.778251464654636
Moderate,2,3002,7202,Repair,1000,2,150,add,2,121,89,1.2966506,0,0.0015997,1.2982503,0,26,26,8636.98757362436,4329.86625153269,43.0712132209167,0,0,0,Inf,0,Inf,6159.93877625999,474.772166735827,357.654912353502,375,150,0.613904253733812
Moderate,2,3002,7203,Repair,1500,1,90,cancel,2,196,44,0.6390337,0,9.77e-05,0.6391314,0,1,1,6313.56231854095,5061.23662220237,12.5232569633858,0,0,0,Inf,0,Inf,5429.28501242684,430,500,375,90,0.801935422876182
Moderate,2,3002,7203,Repair,1500,2,150,add,2,121,89,1.3067578,0,0.0014405,1.3081983,0,26,26,8636.98757362436,4329.86625153269,43.0712132209167,0,0,0,Inf,0,Inf,6159.93877625999,474.772166735827,357.654912353502,375,150,0.576458467694012
Moderate,2,3002,7204,Repair,2500,1,90,cancel,2,196,44,0.6349828,0,0.0001013,0.6350841,0,1,1,6313.56231854095,5061.23662220237,12.5232569633858,0,0,0,Inf,0,Inf,5429.28501242684,430,500,375,90,0.133546696535049
Moderate,2,3002,7204,Repair,2500,2,150,add,2,121,89,1.2881279,0,0.0014283,1.2895562,0,26,26,8636.98757362436,4329.86625153269,43.0712132209167,0,0,0,Inf,0,Inf,6159.93877625999,474.772166735827,357.654912353502,375,150,0.9770834632111
Severe,1,3001,7101,Restart,500,1,90,cancel,4,121,35,0.5056256,0,0.0268542,0.5324798,0,480,480,3472.16695769297,3472.16695769297,0,0,0.636363636363636,1,2,1,1,3286.94280084151,670.315503600199,260.622649356366,375,90,0.219421686975594
