dataset,level,instance,strategy,budget,gap_to_bks,insertion_ratio,mean_detour_ratio,max_detour_ratio,min_slack,critical_count,n_add
addition_instances,M4,4,Repair,2500,0,0.000504756731213523,1,1,80,0,4
addition_instances,M4,5,Restart,500,0.763849425294047,0.000930430074504412,1,1,80,0,4
addition_instances,M4,5,Restart,1000,0.772301757630799,0.000930430074504412,1,1,80,0,4
addition_instances,M4,5,Restart,1500,0.60721129387482,0.000930430074504412,1,1,80,0,4
addition_instances,M4,5,Restart,2500,0.35930039199487,0.000930430074504412,1,1,80,0,4
addition_instances,M4,5,WarmStart,500,0.139673026612355,0.000930430074504412,1,1,80,0,4
addition_instances,M4,5,WarmStart,1000,0,0.000930430074504412,1,1,80,0,4
addition_instances,M4,5,WarmStart,1500,0,0.000930430074504412,1,1,80,0,4
addition_instances,M4,5,WarmStart,2500,0,0.000930430074504412,1,1,80,0,4
addition_instances,M4,5,Repair,500,0,0.000930430074504412,1,1,80,0,4
addition_instances,M4,5,Repair,1000,0,0.000930430074504412,1,1,80,0,4
addition_instances,M4,5,Repair,1500,0,0.000930430074504412,1,1,80,0,4
addition_instances,M4,5,Repair,2500,0,0.000930430074504412,1,1,80,0,4
addition_instances,M4,6,Restart,500,0.978306510179334,0.000661604764438052,1,1,80,0,4
addition_instances,M4,6,Restart,1000,0.750516769770636,0.000661604764438052,1,1,80,0,4
addition_instances,M4,6,Restart,1500,0.79982658076357,0.000661604764438052,1,1,80,0,4
addition_instances,M4,6,Restart,2500,0.236061173452103,0.000661604764438052,1,1,80,0,4
addition_instances,M4,6,WarmStart,500,0.124834746763344,0.000661604764438052,1,1,80,0,4
addition_instances,M4,6,WarmStart,1000,0.189038227030519,0.000661604764438052,1,1,80,0,4
addition_instances,M4,6,WarmStart,1500,0.0280166848590113,0.000661604764438052,1,1,80,0,4
addition_instances,M4,6,WarmStart,2500,0,0.000661604764438052,1,1,80,0,4
addition_instances,M4,6,Repair,500,0,0.000661604764438052,1,1,80,0,4
addition_instances,M4,6,Repair,1000,0,0.000661604764438052,1,1,80,0,4
addition_instances,M4,6,Repair,1500,0,0.000661604764438052,1,1,80,0,4
addition_instances,M4,6,Repair,2500,0,0.000661604764438052,1,1,80,0,4
addition_instances,M4,7,Restart,500,0.919054769190149,0.00106149877862755,1,1,80,0,4
addition_instances,M4,7,Restart,1000,0.84554123267427,0.00106149877862755,1,1,80,0,4
addition_instances,M4,7,Restart,1500,0.608460869447212,0.00106149877862755,1,1,80,0,4
addition_instances,M4,7,Restart,2500,0.559397960575215,0.00106149877862755,1,1,80,0,4
addition_instances,M4,7,WarmStart,500,0.0957759449199096,0.00106149877862755,1,1,80,0,4
addition_instances,M4,7,WarmStart,1000,0.103057847051636,0.00106149877862755,1,1,80,0,4
addition_instances,M4,7,WarmStart,1500,0.162322369947691,0.00106149877862755,1,1,80,0,4
addition_instances,M4,7,WarmStart,2500,0.146939903036655,0.00106149877862755,1,1,80,0,4
